Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description,coordinates,original_latitude,original_longitude,new_latitude,new_longitude
MN - Super Donuts #9,78653.0,2022-12-22,91,"14001 SHADOWGLEN BLVD MANOR, TX 78653 ",11475217,Routine Inspection,"['30.3503', ' -97.54669']",30.3503, -97.54669,30.3502407,-97.5471079
Toy Joy And Yummi Joy,78751.0,2022-12-22,100,"4631 AIRPORT BLVD AUSTIN, TX 78751 ",11942931,Routine Inspection,"['30.30611', ' -97.71529']",30.30611, -97.71529,30.3058795,-97.7152404
Courtesy Shell #2,78704.0,2022-12-21,91,"3906 S CONGRESS AVE AUSTIN, TX 78704 ",11155987,Routine Inspection,"['30.22391', ' -97.76334']",30.22391, -97.76334,30.2240855,-97.7638476
Holiday Inn Austin Town Lake Pecan Tree Restaurant,78701.0,2022-12-21,92,"20 N IH AUSTIN, TX 78701",10004208,Routine Inspection,,,,30.253817,-97.7371803
Nik's Italian Kitchen & Bar,78726.0,2022-12-21,92,"7900 N FM 620 RD AUSTIN, TX 78726 ",10835759,Routine Inspection,"['30.41388', ' -97.84883']",30.41388, -97.84883,30.4131814,-97.8502676
See's Candy Shop,78759.0,2022-12-21,98,"10710 RESEARCH BLVD SB AUSTIN, TX 78759 ",11119596,Routine Inspection,"['30.39799', ' -97.74658']",30.39799, -97.74658,30.3987195,-97.7478614
Omni Barton Creek Resort & Spa (Nopales),78735.0,2022-12-21,100,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",12176458,Routine Inspection,"['30.289977', ' -97.854022']",30.289977, -97.854022,30.291258,-97.8583
Omni Barton Crk Resort & Spa- Texas Spice,78735.0,2022-12-21,100,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",11084376,Routine Inspection,"['30.289977', ' -97.854022']",30.289977, -97.854022,30.291258,-97.8583
PF - 1st Step Early Learning Center,78660.0,2022-12-21,96,"401 FM 685 RD PFLUGERVILLE, TX 78660 ",12392496,Routine Inspection,"['30.43925', ' -97.61218']",30.43925, -97.61218,30.4389668,-97.6116861
PF - Pflour Shop Bakery LLC,78660.0,2022-12-21,94,"20205 FM 685 RD PFLUGERVILLE, TX 78660 ",12392758,Routine Inspection,"['30.48383', ' -97.58443']",30.48383, -97.58443,30.4841366,-97.5836697
Omni Barton Creek Resort & Spa - Velvet Joes,78735.0,2022-12-21,100,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",12183593,Routine Inspection,"['30.289977', ' -97.854022']",30.289977, -97.854022,30.291258,-97.8583
Mobil Food Mart #2,78701.0,2022-12-21,91,"717 E 7TH ST AUSTIN, TX 78701 ",2803620,Routine Inspection,"['30.26672', ' -97.73518']",30.26672, -97.73518,30.2665693,-97.734976
Kwik Stop,78753.0,2022-12-21,88,"11331 N LAMAR BLVD AUSTIN, TX 78753 ",12392884,Routine Inspection,"['30.38246', ' -97.68471']",30.38246, -97.68471,30.3820131,-97.68508
Nothing Bundt Cakes - Austin South,78748.0,2022-12-21,94,"9600 S IH AUSTIN, TX 78748",12395476,Routine Inspection,,,,30.1590788,-97.791053
Sonesta ES Suites Austin Arboretum,78759.0,2022-12-21,98,"10201 STONELAKE BLVD AUSTIN, TX 78759 ",2801499,Routine Inspection,"['30.39319', ' -97.73933']",30.39319, -97.73933,30.3933129,-97.7391193
Domino's Pizza,78726.0,2022-12-21,96,"7900 N FM 620 RD AUSTIN, TX 78726 ",12397085,Routine Inspection,"['30.41388', ' -97.84883']",30.41388, -97.84883,30.4133393,-97.8504328
Baby Acapulco #5,78759.0,2022-12-21,75,"9505 STONELAKE BLVD AUSTIN, TX 78759 ",2802424,Routine Inspection,"['30.38494', ' -97.73854']",30.38494, -97.73854,30.3851051,-97.7383602
Oakwood BBQ,78753.0,2022-12-21,85,"307 E BRAKER LN AUSTIN, TX 78753 ",11634648,Routine Inspection,"['30.37817', ' -97.67935']",30.37817, -97.67935,30.3778877,-97.6795099
Express Food Mart #4,78745.0,2022-12-21,93,"5401 MANCHACA RD AUSTIN, TX 78745 ",2803694,Routine Inspection,"['30.21731', ' -97.79622']",30.21731, -97.79622,30.217176,-97.7958738
PF - Donut Palace,78660.0,2022-12-21,92,"100 12TH ST PFLUGERVILLE, TX 78660 ",12392712,Routine Inspection,"['30.44332', ' -97.63044']",30.44332, -97.63044,30.4437388,-97.6305071
Omni Hotels and Resort-Members Pool Bar,78735.0,2022-12-21,100,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",12167275,Routine Inspection,"['30.289977', ' -97.854022']",30.289977, -97.854022,30.2905891,-97.8577945
