Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Oakwood BBQ,78753.0,2022-12-21,85,"307 E BRAKER LN AUSTIN, TX 78753 ",11634648,Routine Inspection
Express Food Mart #4,78745.0,2022-12-21,93,"5401 MANCHACA RD AUSTIN, TX 78745 ",2803694,Routine Inspection
PF - Donut Palace,78660.0,2022-12-21,92,"100 12TH ST PFLUGERVILLE, TX 78660 ",12392712,Routine Inspection
Omni Hotels and Resort-Members Pool Bar,78735.0,2022-12-21,100,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",12167275,Routine Inspection
East First Grocery,78702.0,2022-12-21,92,"1811 E CESAR CHAVEZ ST AUSTIN, TX 78702 ",10120977,Routine Inspection
Omni Barton Creek Resort & Spa - Jim Bobs,78735.0,2022-12-21,100,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",12176494,Routine Inspection
PF - Fresh Donuts,78660.0,2022-12-21,92,"20205 FM 685 RD PFLUGERVILLE, TX 78660 ",12396150,Routine Inspection
Austin Shell,78702.0,2022-12-21,84,"701 N IH AUSTIN, TX 78702",2803879,Routine Inspection
Walgreens ,78756.0,2022-12-21,98,"5819 BURNET RD AUSTIN, TX 78756 ",10245461,Routine Inspection
Omni Barton Creek Resort & Spa-Banquet Kitchen,78735.0,2022-12-21,100,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",11084428,Routine Inspection
Omni Barton Creek Resort & Spa (Blind Salamander),78735.0,2022-12-21,100,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",12176481,Routine Inspection
Travel Lodge,78741.0,2022-12-21,92,"2915 S IH AUSTIN, TX 78741",10994739,Routine Inspection
PF- Accent Food Services - The Boring Company,78660.0,2022-12-21,100,"15709 IMPACT WAY PFLUGERVILLE, TX 78660 ",12396049,Routine Inspection
Omni Barton Creek Resort & Spa - Crenshaws,78735.0,2022-12-21,98,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",12183571,Routine Inspection
Red Lobster # 0314,78704.0,2022-12-21,93,"3815 S LAMAR BLVD AUSTIN, TX 78704 ",11183314,Routine Inspection
Central Texas Rehabilitation Hospital,78751.0,2022-12-21,97,"700 W 45TH ST AUSTIN, TX 78751 ",10755083,Routine Inspection
Pok-E-Jo's Hancock,78751.0,2022-12-21,94,"1000 E 41ST ST AUSTIN, TX 78751 ",2803036,Routine Inspection
Taco Bell ,78759.0,2022-12-21,92,"4811 W BRAKER LN AUSTIN, TX 78759 ",11066733,Routine Inspection
"Old Pecan St. Cafe @ Copper Tank, The",78701.0,2022-12-21,77,"504 TRINITY ST AUSTIN, TX 78701 ",10369442,Routine Inspection
MN - Delicioso,78653.0,2022-12-21,88,"10900 E US 290 HWY MANOR, TX 78653 ",12394049,Routine Inspection
Jersey Mikes Subs,78748.0,2022-12-21,93,"9500 S IH AUSTIN, TX 78748",10128381,Routine Inspection
"Continental Retirement Community, The",78735.0,2022-12-21,94,"4604 S LAMAR BLVD AUSTIN, TX 78735 ",12115672,Routine Inspection
MN - Taqueria La Parrillita,78653.0,2022-12-21,88,"10400 E US 290 HWY MANOR, TX 78653 ",12089949,Routine Inspection
Papa John's Pizza  ,78756.0,2022-12-21,93,"5343 BURNET RD AUSTIN, TX 78756 ",2801186,Routine Inspection
Thom's Market,78704.0,2022-12-20,98,"1418 BARTON SPRINGS RD AUSTIN, TX 78704 ",10037850,Routine Inspection
Galaxy Cafe,78748.0,2022-12-20,84,"9911 BRODIE LN AUSTIN, TX 78748 ",2802121,Routine Inspection
"Water Tank Bar & Grill, The",78727.0,2022-12-20,88,"7309 MC NEIL DR AUSTIN, TX 78727 ",10879370,Routine Inspection
Sam's Club / Snack Bar ,78735.0,2022-12-20,94,"4970 W US 290 HWY AUSTIN, TX 78735 ",2803159,Routine Inspection
Voodoo Doughnut,78701.0,2022-12-20,81,"212 E 6TH ST AUSTIN, TX 78701 ",11404240,Routine Inspection
